English,Polish
you,Ty
I or I.,I lub I.
to,Do
the,.
a or A.,A lub A.
and,I
that,To
it,To
of,z
me,Ja
what,Co
is,Jest
in,W
this,Ten
know,wiedzieć
I'm,Jestem
for,Do
no,NIE
have,Posiadać
my,Mój
don't,nie
just,Tylko
not,nie
do,Do
be,Być
on,
your,twój
was,był
we,My
it's,jego
with,z
so,Więc
but,Ale
all,Wszystko
well,Dobrze
are,Czy
he,On
oh,Oh
about,o
right,Prawidłowy
you're,Jesteś
get,Dostawać
here,Tutaj
out,na zewnątrz
going,pójście
like,tak jak
yeah,Tak
if,Jeśli
her,jej
she,ona
can,Móc
up,w górę
want,chcieć
that's,jest to
now,Teraz
go,Iść
him,jego
at,Na
how,Jak
got,dostał
there,Tam
one,jeden
did,zrobił
why,Dlaczego
see,Widzieć
come,przychodzić
good,Dobry
they,Oni
really,Naprawdę
as,Jak
would,zrobiłbym
look,Patrzeć
when,Kiedy
time,czas
will,będzie
okay,Dobra
back,z powrotem
can't,żargon
mean,mieć na myśli
tell,powiedzieć
I'll,Chory
from,z
hey,Hej
were,był
he's,On jest
could,mógł
didn't,nie
yes,Tak
his,jego
been,został
or,Lub
something,coś
who,Kto
because,ponieważ
some,Niektóre
had,miał
then,Następnie
say,mowić
ok,OK
take,Brać
an,jakiś
way,sposób
us,nas
little,mały
make,robić
need,potrzebować
gonna,zamierzać
never,nigdy
we're,był
too,zbyt
love,Miłość
she's,Ona jest
I've,Ja
sure,Jasne
them,ich
more,więcej
over,nad
our,nasz
sorry,Przepraszam
where,Gdzie
what's,Co jest
thing,rzecz
am,jestem  
maybe,Może
down,w dół
man,Człowiek
has,ma
uh,uh
very,bardzo
by,przez
there's,jest
should,powinien
anything,wszystko
said,powiedział
any,każdy
life,życie
even,nawet
off,wyłączony
please,Proszę
doing,czyn
thank,dziękować
give,dawać
only,tylko
thought,myśl
help,pomoc
two,dwa
talk,rozmawiać
people,ludzie
god,Bóg
still,Nadal
wait,Czekać
into,do
find,znajdować
nothing,Nic
again,Ponownie
things,rzeczy
let's,Let
doesn't,nie
call,dzwonić
great,Świetnie
before,zanim
better,lepsza
ever,kiedykolwiek
night,noc
than,niż
away,z dala
first,Pierwszy
believe,uważać
other,Inny
feel,czuć
everything,wszystko
work,praca
you've,ty
fine,Cienki
home,dom
after,Po
last,ostatni
these,te
day,dzień
keep,trzymać
does,robi
put,umieścić
around,wokół
stop,zatrzymywać się
they're,Oni
I'd,ID
guy,facet
long,długi
isn't,nie jest
always,zawsze
listen,Słuchać
wanted,poszukiwany
Mr.,Pan.
guys,Chłopaki
huh,Huh
those,te
big,duży
lot,działka
happened,stało się
thanks,Dzięki
won't,przyzwyczajenie
trying,próbować
kind,Uprzejmy
wrong,zło
through,Poprzez
talking,rozmawiając
made,zrobiony
new,nowy
being,istnienie
guess,zgadywać
hi,Cześć
care,opieka
bad,zły
mom,mama
getting,dostawanie
we'll,Dobrze
together,razem
dad,tata
leave,Zostawić
mother,matka
place,miejsce
understand,zrozumieć
wouldn't,nie
actually,Właściwie
hear,słyszeć
baby,Dziecko
nice,Ładny
father,ojciec
else,w przeciwnym razie
stay,zostawać
done,zrobione
wasn't,nie było
their,ich
course,kurs
mind,umysł
every,każdy
enough,wystarczająco 
try,próbować
hell,piekło
someone,ktoś
